waterbody_name,fish_species_present_at_waterbody,comments,special_regulations_on_waterbody,county,types_of_public_access,public_fishing_access_owner,waterbody_information,longitude,latitude,location,location_2
Oswego River Lower,Brown Trout - Steelhead* - Chinook Salmon* - Coho Salmon - Smallmouth Bass - Yellow Perch - Crappie - Walleye - Carp - Channel Catfish,Fishing pier available at municipal park.,,Oswego,Shore Fishing - Boat Launch (Trailer Improved),West Side Riverfront Linear Park (Municipal),http://www.dec.ny.gov/outdoor/41044.html,-76.51110211,43.45841205,POINT(-76.511102113 43.458412046),POINT(-76.511102113 43.458412046)
Oswego River Upper,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Walleye - Carp - Channel Catfish,None,,Oswego,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/41044.html,-76.41550913,43.33556861,POINT(-76.415509131 43.335568609),POINT(-76.415509131 43.335568609)
Oneida River,Largemouth Bass - Smallmouth Bass - Crappie - Northern Pike - Carp - Channel Catfish,None,,Onondaga,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23881.html,-76.26629965,43.21037812,POINT(-76.266299646 43.210378118),POINT(-76.266299646 43.210378118)
Salmon River,Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Atlantic Salmon* - Smallmouth Bass,None,,Oswego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/37926.html,-76.03600194,43.53104019,POINT(-76.036001935 43.531040188),POINT(-76.036001935 43.531040188)
North Branch Salmon River,Brook Trout*,None,,Oswego,Shore Fishing - Public Fishing Rights,Public Easement - Battle Hill State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/r7nbrsalrpfr.pdf,-75.82685673,43.5693341,POINT(-75.826856729 43.569334098),POINT(-75.826856729 43.569334098)
Chittenango Creek,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31460.html,Madison,Shore Fishing - Public Fishing Rights,Public Easement - Cittenango Falls State Park,http://www.dec.ny.gov/outdoor/71484.html,-75.83679387,42.97497208,POINT(-75.836793871 42.974972077),POINT(-75.836793871 42.974972077)
Butternut Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31471.html,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7buttnutpfr.pdf,-76.0664965,42.84132145,POINT(-76.066496504 42.841321446),POINT(-76.066496504 42.841321446)
Limestone Creek,Brook Trout* - Brown Trout*,None,,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/71711.html,-75.90532697,42.88103485,POINT(-75.905326967 42.881034849),POINT(-75.905326967 42.881034849)
Carmans River,Brook Trout* - Brown Trout* - Rainbow Trout*,Suffolk county permit required (631-854-4949).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing,Southhaven County Park,,-72.88781717,40.80907075,POINT(-72.887817171 40.809070751),POINT(-72.887817171 40.809070751)
Seneca River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky* - Northern Pike - Walleye - Carp - Channel Catfish,None,,Cayuga,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/66680.html,-76.64529454,43.07864084,POINT(-76.645294543 43.078640839),POINT(-76.645294543 43.078640839)
Ninemile Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31471.html,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/71660.html,-76.33045112,43.02644329,POINT(-76.330451117 43.026443294),POINT(-76.330451117 43.026443294)
Grout Brook,Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31439.html,Cortland,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7groutbrpfr.pdf,-76.26508009,42.74187912,POINT(-76.265080086 42.74187912),POINT(-76.265080086 42.74187912)
Owasco Inlet,Brown Trout* Rainbow Trout*,None,,Cayuga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7owascoinpfr.pdf,-76.40716778,42.64194629,POINT(-76.407167784 42.641946291),POINT(-76.407167784 42.641946291)
Naples Creek,Brook Trout - Brown Trout - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31417.html,Ontario,Shore Fishing - Public Fishing Rights,Public Easement - High Tor State Wildlife Management Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnaplesck.pdf,-77.4036067,42.6094794,POINT(-77.403606702 42.609479403),POINT(-77.403606702 42.609479403)
Salmon Creek,Atlantic Salmon - Brown Trout* - Rainbow Trout* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31417.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7salcrekpfr.pdf,-76.53821564,42.55054331,POINT(-76.538215641 42.550543308),POINT(-76.538215641 42.550543308)
Fall Creek,Atlantic Salmon - Brook Trout* - Brown Trout* - Rainbow Trout - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31417.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7fallcrpfr.pdf,-76.28312588,42.59899543,POINT(-76.28312588 42.598995432),POINT(-76.28312588 42.598995432)
Fall Creek (Upper),Brook Trout* - Brown Trout*,None,,Cayuga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7fallcrpfr.pdf,-76.27899446,42.63980371,POINT(-76.278994455 42.639803711),POINT(-76.278994455 42.639803711)
Cayuga Inlet,Brown Trout - Rainbow Trout* - Atlantic Salmon,None,http://www.dec.ny.gov/outdoor/31417.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/72779.html,-76.55402228,42.36873736,POINT(-76.554022279 42.368737364),POINT(-76.554022279 42.368737364)
Cold Brook,Brown Trout - Rainbow Trout - Atlantic Salmon,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkeukainlt.pdf,-77.25839824,42.39487478,POINT(-77.258398236 42.394874784),POINT(-77.258398236 42.394874784)
Guyanoga Creek,Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31417.html,Yates,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrgyanogack.pdf,-77.14955431,42.59980095,POINT(-77.149554309 42.59980095),POINT(-77.149554309 42.59980095)
Catharine Creek,Rainbow Trout,None,,Schuyler,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcathrneck.pdf,-76.84384191,42.32827481,POINT(-76.843841906 42.32827481),POINT(-76.843841906 42.32827481)
McCorn Creek,Brown Trout,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcayutack.pdf,-76.60608284,42.26761268,POINT(-76.606082843 42.267612682),POINT(-76.606082843 42.267612682)
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.8656649,42.0823401,POINT(-76.865664903 42.082340095),POINT(-76.865664903 42.082340095)
Cohocton River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcohoctriv.pdf,-77.3495599,42.35729338,POINT(-77.349559895 42.357293382),POINT(-77.349559895 42.357293382)
Neil Creek,Brown Trout,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneilcreek.pdf,-77.47995833,42.4276311,POINT(-77.479958326 42.427631095),POINT(-77.479958326 42.427631095)
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31431.html,Broome,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.60037003,42.19364448,POINT(-75.60037003 42.193644482),POINT(-75.60037003 42.193644482)
Tioughnioga River,Smallmouth Bass - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31431.html,Broome,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23910.html,-75.84619997,42.23825151,POINT(-75.846199971 42.238251511),POINT(-75.846199971 42.238251511)
Sangerfield River,Brown Trout* - Smallmouth Bass - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/66157.html,-75.54019422,42.71832195,POINT(-75.540194217 42.718321946),POINT(-75.540194217 42.718321946)
Otselic River,Brown Trout* - Walleye,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7otselripfr.pdf,-75.81528705,42.61986468,POINT(-75.815287051 42.619864684),POINT(-75.815287051 42.619864684)
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.68133041,42.36438528,POINT(-75.681330413 42.364385279),POINT(-75.681330413 42.364385279)
Upper Peconic River,Largemouth Bass - Sunfish - Chain Pickerel,DEC Access permit required (631-444-0280).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing - Boat Launch (Hand Launch),Otis Pike Preserve (DEC),http://www.dec.ny.gov/outdoor/23865.html,-72.74334495,40.90509327,POINT(-72.743344951 40.905093268),POINT(-72.743344951 40.905093268)
Connetquot River,Brook Trout* - Brown Trout* - Rainbow Trout*,Fishing pier available at state park. OPRHP permit required (631-669-1000).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing,Connetquot River State Park,,-73.15213417,40.74809242,POINT(-73.152134173 40.748092416),POINT(-73.152134173 40.748092416)
Nissequogue River,Brook Trout* - Brown Trout* - Rainbow Trout*,Fishing pier available at state park. OPRHP permit required (631-669-1000).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing - Boat Launch (Hand Launch),Caleb Smith State Park Preserve (New York State Park),http://www.dec.ny.gov/outdoor/23865.html,-73.22730003,40.84648297,POINT(-73.227300031 40.846482971),POINT(-73.227300031 40.846482971)
Saranac River,Brown Trout* - Rainbow Trout* - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye,None,http://www.dec.ny.gov/outdoor/31437.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsaranac.pdf,-73.81110113,44.60489443,POINT(-73.811101127 44.604894425),POINT(-73.811101127 44.604894425)
North Branch Saranac River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31437.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnbsaranac.pdf,-73.91823852,44.57867261,POINT(-73.918238523 44.578672605),POINT(-73.918238523 44.578672605)
Salmon River,Brook Trout - Brown Trout*,Camping available at state park.,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement - Macomb Reservation State Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrc.pdf,-73.6398305,44.61159459,POINT(-73.639830499 44.611594588),POINT(-73.639830499 44.611594588)
Arnold Brook,Brook Trout - Brown Trout*,None,,Clinton,,,,-73.5419825,44.59367772,POINT(-73.541982496 44.593677719),POINT(-73.541982496 44.593677719)
Ausable River,Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31443.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrausable.pdf,-73.56746391,44.4679729,POINT(-73.567463912 44.467972896),POINT(-73.567463912 44.467972896)
West Branch Ausable River,Brook Trout* - Brown Trout* - Rainbow Trout*,Camping available at Wilmington Notch DEC Campground.,http://www.dec.ny.gov/outdoor/31443.html,Essex,Shore Fishing,Whiteface Mountain Ski Center (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwbausable.pdf,-73.85940933,44.35422113,POINT(-73.859409331 44.354221132),POINT(-73.859409331 44.354221132)
Chubb River,Brook Trout* - Brown Trout*,None,,Essex,Shore Fishing - Public Fishing Rights,Public Easement - High Peaks Wilderness (DEC),http://www.dec.ny.gov/lands/9164.html,-74.01399775,44.26275951,POINT(-74.013997746 44.262759513),POINT(-74.013997746 44.262759513)
Great Chazy River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Muskellunge - Norhtern Pike - Chain Pickerel - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31510.html,Clinton,Boat Launch (Trailer Improved),New York State Parks,http://www.dec.ny.gov/outdoor/23904.html,-73.38672435,44.93221207,POINT(-73.386724349 44.932212074),POINT(-73.386724349 44.932212074)
North Branch Great Chazy River,Brown Trout* - Rainbow Trout* - Smallmouth Bass,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnbchazy.pdf,-73.77431229,44.90598344,POINT(-73.774312288 44.905983443),POINT(-73.774312288 44.905983443)
Carew Brook,Brown Trout,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,,-73.87722474,44.88434423,POINT(-73.877224739 44.884344232),POINT(-73.877224739 44.884344232)
Mill Brook,Brook Trout - Brown Trout*,None,,Essex,,,,-73.47960261,44.05270926,POINT(-73.47960261 44.052709263),POINT(-73.47960261 44.052709263)
Timmerman Creek,Brown Trout*,None,,Montgomery,,,,-74.68394031,43.0172292,POINT(-74.683940305 43.017229195),POINT(-74.683940305 43.017229195)
Spruce Creek,Brook Trout - Brown Trout*,None,,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrecanadack.pdf,-74.77501589,43.12290358,POINT(-74.775015894 43.122903578),POINT(-74.775015894 43.122903578)
West Canada Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/9238.html,-75.10676624,43.23754175,POINT(-75.106766237 43.237541746),POINT(-75.106766237 43.237541746)
Oriskany Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.40071171,43.03223626,POINT(-75.40071171 43.032236263),POINT(-75.40071171 43.032236263)
Meco Creek,Brown Trout*,None,,Fulton,,,,-74.36219707,43.05041322,POINT(-74.362197066 43.050413222),POINT(-74.362197066 43.050413222)
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.87768708,43.13801064,POINT(-73.877687077 43.138010643),POINT(-73.877687077 43.138010643)
Batten Kill,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31502.html,Washington,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbattenkil.pdf,-73.27217639,43.10124268,POINT(-73.272176385 43.101242681),POINT(-73.272176385 43.101242681)
Schroon River,Brook Trout* - Brown Trout* - Rainbow Trout - Atlantic Salmon*,None,http://www.dec.ny.gov/outdoor/31501.html,Warren,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschroon.pdf,-73.73141167,43.60794887,POINT(-73.731411667 43.607948869),POINT(-73.731411667 43.607948869)
Glen Creek,Brown Trout*,None,,Warren,Shore Fishing,Wilcox Lake Wild Forest (DEC),http://www.dec.ny.gov/lands/22584.html,-73.88414694,43.58018502,POINT(-73.88414694 43.580185017),POINT(-73.88414694 43.580185017)
Mill Creek,Brook Trout* - Brown Trout*,None,,Warren,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrmillckr5.pdf,-73.97839802,43.58272807,POINT(-73.978398024 43.582728065),POINT(-73.978398024 43.582728065)
Perch River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23890.html,-76.07717455,44.00253222,POINT(-76.077174546 44.00253222),POINT(-76.077174546 44.00253222)
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.13183006,43.39665974,POINT(-75.131830064 43.396659736),POINT(-75.131830064 43.396659736)
Moose River,Brook Trout*,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing,Black River Wild Forest (DEC),http://www.dec.ny.gov/lands/49959.html,-75.10245644,43.6119676,POINT(-75.102456443 43.611967601),POINT(-75.102456443 43.611967601)
Stoney Creek,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstonyck.pdf,-76.20016968,43.83747981,POINT(-76.200169676 43.837479812),POINT(-76.200169676 43.837479812)
Sandy Creek,Brown Trout* - Steelhead - Coho Salmon - Chinook Salmon,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement - Lakeview Wildlife Management Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsandyckr6.pdf,-76.1857244,43.74404627,POINT(-76.185724398 43.744046271),POINT(-76.185724398 43.744046271)
South Sandy Creek,Brown Trout - Steelhead* - Coho Salmon - Chinook Salmon*,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrssandyck.pdf,-76.14674909,43.72661703,POINT(-76.146749092 43.726617029),POINT(-76.146749092 43.726617029)
West Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23882.html,-75.8128025,43.38926143,POINT(-75.812802499 43.389261426),POINT(-75.812802499 43.389261426)
East Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrebfishcreek.pdf,-75.54943329,43.52835846,POINT(-75.549433287 43.528358464),POINT(-75.549433287 43.528358464)
Chaumont River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Boat Launch (Trailer Improved),New York State Parks,http://www.dec.ny.gov/outdoor/23890.html,-76.1489335,44.06841542,POINT(-76.148933498 44.068415416),POINT(-76.148933498 44.068415416)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/29956.html,-76.32197054,44.13307527,POINT(-76.321970536 44.133075265),POINT(-76.321970536 44.133075265)
Grass River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Upper and Lower Lakes Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/23866.html,-75.22705613,44.62116423,POINT(-75.227056126 44.62116423),POINT(-75.227056126 44.62116423)
Fish Creek (St. Lawrence),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye,None,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Unimproved),Fish Creek Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/9322.html,-75.58309983,44.48113235,POINT(-75.583099831 44.481132348),POINT(-75.583099831 44.481132348)
Indian River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,Shore Fishing - Boat Launch (Trailer Unimproved),Indian River State Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/23890.html,-75.76050809,44.26514684,POINT(-75.760508085 44.265146835),POINT(-75.760508085 44.265146835)
Chateaugay River,Brook Trout* - Brown Trout* - Rainbow Trout* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrchateaugay.pdf,-74.09451049,44.92553579,POINT(-74.094510485 44.925535788),POINT(-74.094510485 44.925535788)
Trout River,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,,,,-74.29333725,44.91834455,POINT(-74.293337254 44.918344554),POINT(-74.293337254 44.918344554)
Salmon River,Brook Trout - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrf.pdf,-74.37459208,44.92932209,POINT(-74.374592082 44.929322086),POINT(-74.374592082 44.929322086)
Little Salmon River,Brook Trout - Brown Trout,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrlitsalmon.pdf,-74.46820518,44.81492006,POINT(-74.468205183 44.814920064),POINT(-74.468205183 44.814920064)
St. Regis River,Brook Trout - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights - Boat launch (Hand Launch),Public Easement - Debar Mountain Wild Forest (DEC) - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstregis.pdf,-74.47196149,44.65977796,POINT(-74.47196149 44.659777959),POINT(-74.47196149 44.659777959)
